                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.89807,                 1.0694,                 1.2685,                0.43048,                0.34675,                0.34956,                0.18516,                 1.9083,                 2.8703,                 2.0851,             0.00037407,             0.00037407,             0.00037407
                     69,                0.87095,                 1.0522,                 1.2594,                0.33631,                   0.32,                0.30418,                0.15396,                 1.9231,                 3.0408,                 2.0351,             0.00036307,             0.00036307,             0.00036307
                     70,                0.89343,                 1.0565,                  1.264,                0.38078,                0.36962,                0.33558,                0.18509,                 1.9032,                 2.9161,                 2.0218,             0.00035208,             0.00035208,             0.00035208
                     71,                0.87218,                 1.0476,                 1.2637,                0.37173,                0.31642,                0.31154,                0.22828,                 1.9182,                 3.2286,                  2.108,             0.00034108,             0.00034108,             0.00034108
                     72,                0.87625,                 1.0383,                 1.2627,                 0.4634,                 0.3157,                0.34006,                0.22561,                 1.9247,                 3.1542,                  2.086,             0.00033008,             0.00033008,             0.00033008
                     73,                0.86677,                 1.0206,                  1.248,                0.24898,                0.33961,                 0.3222,                0.17636,                 1.9731,                 2.9573,                 2.1616,             0.00031908,             0.00031908,             0.00031908
                     74,                0.85311,                 1.0232,                 1.2467,                0.46933,                0.30307,                0.31237,                0.21255,                 1.9091,                 3.1147,                 2.0291,             0.00030808,             0.00030808,             0.00030808
                     75,                0.85106,                 1.0197,                 1.2436,                0.34057,                0.33286,                0.31844,                0.19245,                 1.9404,                 3.0003,                 2.0659,             0.00029708,             0.00029708,             0.00029708
                     76,                0.85176,                0.99933,                 1.2398,                0.46382,                0.32818,                0.32807,                0.22282,                 1.9471,                 2.8876,                 2.0768,             0.00028608,             0.00028608,             0.00028608
                     77,                 0.8477,                 1.0016,                 1.2365,                0.43433,                0.33726,                0.32112,                 0.2025,                 1.9808,                 3.0006,                 2.1377,             0.00027508,             0.00027508,             0.00027508
                     78,                0.84416,                0.99426,                 1.2321,                0.46195,                0.30052,                0.34348,                0.22275,                 1.9957,                 2.9814,                 2.1603,             0.00026408,             0.00026408,             0.00026408
                     79,                  0.853,                0.98075,                 1.2342,                0.28586,                0.34442,                0.24005,                0.11477,                 2.0295,                 3.0583,                 2.2188,             0.00025309,             0.00025309,             0.00025309
                     80,                0.84859,                0.98123,                 1.2332,                 0.3503,                0.35033,                0.34399,                0.24774,                 1.9398,                 2.9478,                 2.1263,             0.00024209,             0.00024209,             0.00024209
                     81,                0.84466,                0.98407,                 1.2368,                0.40992,                 0.3387,                0.33834,                0.23735,                 1.9718,                 3.2255,                 2.1294,             0.00023109,             0.00023109,             0.00023109
                     82,                0.83187,                0.96638,                  1.226,                0.46538,                0.29463,                0.33134,                0.23871,                 1.9692,                 3.0767,                 2.1081,             0.00022009,             0.00022009,             0.00022009
                     83,                0.82118,                0.96905,                  1.217,                0.40018,                0.32532,                0.32284,                 0.2303,                 2.0008,                 3.0887,                 2.1432,             0.00020909,             0.00020909,             0.00020909
                     84,                0.81662,                0.95488,                 1.2159,                0.36703,                0.34135,                0.34442,                0.22465,                 1.9535,                 3.0923,                 2.0844,             0.00019809,             0.00019809,             0.00019809
